No.,自社タイトル,自社URL,自社公開,スパムチャンネル名,スパムチャンネルURL,スパム公開,スパム再生数,スパムタイトル,スパムURL,タイトル一致率
44,【スカッとする話】長男の海外主張中、癌で余命半年の私を奴隷扱いする長男嫁「家事も役立たずは出てけ！」私「はい...」泣きながら出て行くと長男とある人物がやってきて…【修羅場】【スカッと】,https://www.youtube.com/watch?v=i8zqcOBxHyo,3.7万回視聴 / 3 年前,567 Lenmoban,https://www.youtube.com/channel/UCvdGGJHSzUfvS64FqivkrYQ,2 年前,0 回視聴,【スカッとする話】長男の海外主張中、癌で余命半年の私を奴隷扱いする長男嫁「家事も役立たずは出てけ！」私「はい   」泣きながら出て行くと長男とある人物がやってきて…,https://www.youtube.com/watch?v=aiF0Bsy3nho,100%
45,【スカッとする話】長男夫婦の結婚式で新婦を指し孫が「あっ、プロレスの姉ちゃん！」と笑っていた。私が叱ると孫「だって、この前じいちゃんの上に乗ってたから」直後、夫と新婦が顔面蒼白で震えだし..【修羅場】,https://www.youtube.com/watch?v=4VGG0yj_HNk,3.3万回視聴 / 3 年前,567 Lenmoban,https://www.youtube.com/channel/UCvdGGJHSzUfvS64FqivkrYQ,2 年前,0 回視聴,【スカッとする話】長男夫婦の結婚式で新婦を指し孫が「あっ、プロレスの姉ちゃん！」と笑っていた。私が叱ると孫「だって、この前じいちゃんの上に乗ってたから」直後、夫と新婦が顔面蒼白で震えだし,https://www.youtube.com/watch?v=AvpBJxLjZGI,100%
46,【スカッとする話】長男嫁の自慢のパスタを食べた直後、泡を吹いて倒れた孫。私「救急車呼んでちょうだい！」長男嫁「は！？どうして義母さんじゃないの！？」私「は？」【修羅場】,https://www.youtube.com/watch?v=NpHDwu1oW4I,6.4万回視聴 / 3 年前,567 Lenmoban,https://www.youtube.com/channel/UCvdGGJHSzUfvS64FqivkrYQ,2 年前,0 回視聴,【スカッとする話】長男嫁の自慢のパスタを食べた直後、泡を吹いて倒れた孫。私「救急車呼んでちょうだい！」長男嫁「は！？どうして義母さんじゃないの！？」私「は？」,https://www.youtube.com/watch?v=5bLzh5_Pq2w,100%
47,【スカッとする話】癌でボロボロの状態で姉夫婦に追い出された祖母。姉「コイツはお前が面倒見ろw」私「いいよ！」夫婦で高級中華を営む私が祖母を引き取った結果w,https://www.youtube.com/watch?v=X-XsOSVdcY8,2.9万回視聴 / 2 年前,568 Dangbiung,https://www.youtube.com/channel/UCd3lCwDvc1YdbWH6cKlNq3A,1 年前,0 回視聴,【スカッとする話】癌でボロボロの状態で姉夫婦に追い出された祖母。姉「コイツはお前が面倒見ろw」私「いいよ！」夫婦で高級中華を営む私が祖母を引き取った結果w,https://www.youtube.com/watch?v=eEgO-Kw4958,100%
48,【スカッとする話】親族の集まりでエリート夫「うちのは家事も掃除もしない汚嫁ですw」私「は？一体誰の話してんの？あんたいつも社宅じゃない」義両親「は？」,https://www.youtube.com/watch?v=GgVCrrU6ykU,3万回視聴 / 2 年前,568 Dangbiung,https://www.youtube.com/channel/UCd3lCwDvc1YdbWH6cKlNq3A,1 年前,0 回視聴,【スカッとする話】親族の集まりでエリート夫「うちのは家事も掃除もしない汚嫁ですw」私「は？一体誰の話してんの？あんたいつも社宅じゃない」義両親「は？」,https://www.youtube.com/watch?v=Iufq_ePfGi8,100%
49,【スカッとする話】元夫に招待された結婚式に行くと私を追い出す新婦「彼に捨てられた元嫁は帰れw」私「じゃあ帰りますね」5分後、半狂乱の新婦から鬼電がw,https://www.youtube.com/watch?v=tIahGRXK2iQ,10万回視聴 / 2 年前,568 Khochiuvay,https://www.youtube.com/channel/UCmPRYn8UnUpRTHOkxuPwFrg,1 年前,0 回視聴,【スカッとする話】元夫に招待された結婚式に行くと私を追い出す新婦「彼に捨てられた元嫁は帰れw」私「じゃあ帰りますね」5分後、半狂乱の新婦から鬼電がw,https://www.youtube.com/watch?v=0RvmiGY-qnA,100%
50,【スカッとする話】私名義の二世帯住宅と知らず子供5人を連れて出戻ってきた姉「アンタの部屋は私が使うからでてけw」姪「ババァは庭で暮らしてろｗ」キレた私が家を売り払った結果w,https://www.youtube.com/watch?v=AiWMa4gDdU4,10万回視聴 / 2 年前,568 Khochiuvay,https://www.youtube.com/channel/UCmPRYn8UnUpRTHOkxuPwFrg,1 年前,0 回視聴,【スカッとする話】私名義の二世帯住宅と知らず子供5人を連れて出戻ってきた姉「アンタの部屋は私が使うからでてけw」姪「ババァは庭で暮らしてろｗ」キレた私が家を売り払った結果w,https://www.youtube.com/watch?v=9X6tj18qLhI,100%
51,【スカッとする話】新築一戸建てを建てると、姑との同居を無理矢理決めた夫「母さんの引越しは済んだか？」私「うん、終わったよ！私の方も今実家に引っ越し完了したとこ」夫「え？実家？」結果w【修羅場】,https://www.youtube.com/watch?v=VUbbMKYSQcE,6.6万回視聴 / 3 年前,568 Nhièudodu,https://www.youtube.com/channel/UCaEoz8eqqUVi21dauWEQjYg,1 年前,0 回視聴,【スカッとする話】新築一戸建てを建てると、姑との同居を無理矢理決めた夫「母さんの引越しは済んだか？」私「うん、終わったよ！私の方も今実家に引っ越し完了したとこ」夫「え？実家？」結果w【修羅,https://www.youtube.com/watch?v=zGaOv-_ENTg,98%
52,【スカッとする話】新築祝いに長男嫁がくれた１人前10万円の高級寿司をゴミ箱に捨てた私にブチギレる夫「嫁に土下座しろ！」私「中身見た？」夫「え？」【修羅場】【スカッと】,https://www.youtube.com/watch?v=nYE4OtGJrVU,4.3万回視聴 / 3 年前,568 Nhièudodu,https://www.youtube.com/channel/UCaEoz8eqqUVi21dauWEQjYg,1 年前,0 回視聴,【スカッとする話】新築祝いに長男嫁がくれた１人前10万円の高級寿司をゴミ箱に捨てた私にブチギレる夫「嫁に土下座しろ！」私「中身見た？」夫「え？」,https://www.youtube.com/watch?v=xg95_s2wzvw,100%
53,【スカッとする話】長男の葬儀当日、斎場の控室に入ると夫と長男嫁が真っ最中…私「嫁が男に襲われています！」こっそり部屋に鍵をかけ閉じ込め親戚一同を全員呼んだ結果w,https://www.youtube.com/watch?v=f4wGIv3cYG0,10万回視聴 / 2 年前,568 Nhièudodu,https://www.youtube.com/channel/UCaEoz8eqqUVi21dauWEQjYg,1 年前,0 回視聴,【スカッとする話】長男の葬儀当日、斎場の控室に入ると夫と長男嫁が真っ最中…私「嫁が男に襲われています！」こっそり部屋に鍵をかけ閉じ込め親戚一同を全員呼んだ結果,https://www.youtube.com/watch?v=TF00reOUN5o,100%
54,【スカッとする話】私の年収が5000万と知らず入院中の私を捨て私の幼馴染と再婚した夫「働かない嫁とは離婚だw慰謝料として毎月10万払えよｗ」私「分かった！はい、離婚届け」1週間後、夫から30件の鬼電が,https://www.youtube.com/watch?v=gsnipzQV4fk,9.8万回視聴 / 3 年前,568 Thieutientra,https://www.youtube.com/channel/UCbpPLSLdxwPUECcpBAHn7Wg,2 年前,306回視聴,私の年収が4000万とは知らずに入院中の私を捨て美人な幼馴染と再婚した夫「働かない嫁とは離婚だ！慰謝料として月8万払え」私「はい離婚届」→1週間後、夫から200件の鬼電がw【,https://www.youtube.com/watch?v=djL_cfmMaMc,86%
55,【スカッとする話】いとこの出産祝いで親族が集まると、夫「母親似で可愛いな〜！」私「そう？アンタにそっくりよ？パパになった感想はどう？」義父「は？」義両親がブチギレ...,https://www.youtube.com/watch?v=-AlB7jMx9mg,5.7万回視聴 / 2 年前,569 Notranhne,https://www.youtube.com/channel/UCL9O9afFvDUQeilvV2hVGuw,1 年前,0 回視聴,【スカッとする話】いとこの出産祝いで親族が集まると、夫「母親似で可愛いな〜！」私「そう？アンタにそっくりよ？パパになった感想はどう？」義父「は？」義両親がブチギレ,https://www.youtube.com/watch?v=vGiCoyO24J8,100%
56,【スカッとする話】超高級車をローンで購入すると、夫「この車は今から俺と彼女のモノ！」私「いいよ！（ローン30万だけど...）」ローン丸ごと車を渡した結果w,https://www.youtube.com/watch?v=9OBKOoyY_Mw,2万回視聴 / 2 年前,569 Notranhne,https://www.youtube.com/channel/UCL9O9afFvDUQeilvV2hVGuw,1 年前,1 回視聴,【スカッとする話】超高級車をローンで購入すると、夫「この車は今から俺と彼女のモノ！」私「いいよ！（ローン30万だけど   ）」ローン丸ごと車を渡した結果w,https://www.youtube.com/watch?v=Xj5lKic3jDA,100%
57,【スカッとする話】実家で長男と長男嫁に嫌われ続けた私が追い出され次男夫婦の家へ。私「ちょっと聞いてくれない？」私が抱え込んでいた悩みを伝えると、次男嫁｢実は私の正体は…｣【修羅場】,https://www.youtube.com/watch?v=c9IsJU5XUfo,5.3万回視聴 / 3 年前,578 Doingaynay,https://www.youtube.com/channel/UCpA9aom883CUg2Vfu3qgigg,2 年前,0 回視聴,【スカッとする話】実家で長男と長男嫁に嫌われ続けた私が追い出され次男夫婦の家へ。私「ちょっと聞いてくれない？」私が抱え込んでいた悩みを伝えると、次男嫁｢実は私の正体は…｣,https://www.youtube.com/watch?v=3ZFR0aNOsQA,100%
58,【スカッとする話】実家で長男と長男嫁に嫌われ続けた私が追い出され次男夫婦の家へ。私「ちょっと聞いてくれない？」私が抱え込んでいた悩みを伝えると、次男嫁｢実は私の正体は…｣【修羅場】,https://www.youtube.com/watch?v=c9IsJU5XUfo,5.3万回視聴 / 3 年前,578 Doingaynay,https://www.youtube.com/channel/UCpA9aom883CUg2Vfu3qgigg,2 年前,0 回視聴,【スカッとする話】実家で長男と長男嫁に嫌われ続けた私が追い出され次男夫婦の家へ。私「ちょっと聞いてくれない？」私が抱え込んでいた悩みを伝えると、次男嫁｢実は私の正体は…｣,https://www.youtube.com/watch?v=GP3H7BHU7Cc,100%
59,【スカッとする話】実家の1000万を持ち逃げした息子嫁が孫を連れてきて、息子嫁「一緒に住んであげるから孫二人の風呂とご飯お願いねw」私「え？もう実家ないけど？」息子嫁「は？」実は…,https://www.youtube.com/watch?v=wCLIZFRaW28,2.3万回視聴 / 3 年前,578 Doingaynay,https://www.youtube.com/channel/UCpA9aom883CUg2Vfu3qgigg,2 年前,0 回視聴,【スカッとする話】実家の1000万を持ち逃げした息子嫁が孫を連れてきて、息子嫁「一緒に住んであげるから孫二人の風呂とご飯お願いね」私「え？もう実家ないけど？」息子嫁「は？」実は…,https://www.youtube.com/watch?v=_j8tp7jpl9A,100%
60,【スカッとする話】結婚式に向かった夫の忘れ物に気付き電話すると、夫「式中に電話するな！非常識だぞ！」私「ご祝儀と礼服忘れてるけど...」夫「え？」結果w【修羅場】,https://www.youtube.com/watch?v=T3LqJSBHdQE,2.2万回視聴 / 3 年前,578 Doingaynay,https://www.youtube.com/channel/UCpA9aom883CUg2Vfu3qgigg,2 年前,1 回視聴,【スカッとする話】結婚式に向かった夫の忘れ物に気付き電話すると、夫「式中に電話するな！非常識だぞ！」私「ご祝儀と礼服忘れてるけど   」夫「え？」結果,https://www.youtube.com/watch?v=ceDEZnHXkUo,100%
61,【スカッとする話】高級寿司屋でパート中、個室席に偶然、長男嫁と両親が…。話かけようとすると、長男嫁と両親の恐ろしい会話が聞こえてきて...【修羅場】【スカッと】,https://www.youtube.com/watch?v=LFfg2Ew_S1w,2.6万回視聴 / 3 年前,578 Doingaynay,https://www.youtube.com/channel/UCpA9aom883CUg2Vfu3qgigg,2 年前,6回視聴,【スカッとする話】高級寿司屋でパート中、個室席に偶然、長男嫁と両親が…。話かけようとすると、長男嫁と両親の恐ろしい会話が聞こえてきて,https://www.youtube.com/watch?v=j-mF3Vb1nr0,100%
62,【スカッと】取引先の社員と不倫旅行する夫「出張中は絶対連絡するな！」会社・取引先・義実家に内容証明を送り、一切連絡しなかった結果w,https://www.youtube.com/watch?v=htYBNxtUB58,3.4万回視聴 / 2 年前,578 Nhieulamgi,https://www.youtube.com/channel/UCNu2kNiBoWpzWjgPdrdjElw,1 年前,1 回視聴,【スカッと】取引先の社員と不倫旅行する夫「出張中は絶対連絡するな！」会社・取引先・義実家に内容証明を送り、一切連絡しなかった結果w,https://www.youtube.com/watch?v=VPj3fs92ji4,100%
63,【スカッとする話】天才外科女医である事を隠して生きてきた私。ある日、娘に連れられイチゴ狩りに行くとおばちゃんが倒れ緊急搬送！医者「この手術は私には無理だ…」緊急事態発生し…,https://www.youtube.com/watch?v=Zq9eORdDdX8,2.3万回視聴 / 3 年前,578 Nhieulamgi,https://www.youtube.com/channel/UCNu2kNiBoWpzWjgPdrdjElw,1 年前,2回視聴,【スカッとする話】天才外科女医である事を隠して生きてきた私。ある日、娘に連れられイチゴ狩りに行くとおばちゃんが倒れ緊急搬送！医者「この手術は私には無理だ…」緊急事態発生し…,https://www.youtube.com/watch?v=Ow-M9nVUwUc,100%
